Seq num.,Source,Queue @ source,Transmit @ source,Receive @ C,Transmit @ C,Receive @ D,Queue Delay @ source,Queue Delay @ C,Total Queueing Delay,End-to-End Delay
0,A,0,10,11,22,23,0,0,0,23
1,A,0,20,21,42,43,10,10,20,43
2,A,0,30,31,62,63,20,20,40,63
3,A,0,40,41,72,73,30,20,50,73
4,A,0,50,51,82,83,40,20,60,83
5,A,1000,1010,1011,1022,1023,0,0,0,23
6,A,1000,1020,1021,1042,1043,10,10,20,43
7,A,1000,1030,1031,1062,1063,20,20,40,63
8,A,1000,1040,1041,1072,1073,30,20,50,73
9,A,1000,1050,1051,1082,1083,40,20,60,83
10,A,2000,2010,2011,2022,2023,0,0,0,23
11,A,2000,2020,2021,2042,2043,10,10,20,43
12,A,2000,2030,2031,2062,2063,20,20,40,63
13,A,2000,2040,2041,2072,2073,30,20,50,73
14,A,2000,2050,2051,2082,2083,40,20,60,83
15,A,3000,3010,3011,3022,3023,0,0,0,23
16,A,3000,3020,3021,3042,3043,10,10,20,43
17,A,3000,3030,3031,3062,3063,20,20,40,63
18,A,3000,3040,3041,3072,3073,30,20,50,73
19,A,3000,3050,3051,3082,3083,40,20,60,83
20,A,4000,4010,4011,4022,4023,0,0,0,23
21,A,4000,4020,4021,4042,4043,10,10,20,43
22,A,4000,4030,4031,4062,4063,20,20,40,63
23,A,4000,4040,4041,4072,4073,30,20,50,73
24,A,4000,4050,4051,4082,4083,40,20,60,83
25,A,5000,5010,5011,5022,5023,0,0,0,23
26,A,5000,5020,5021,5042,5043,10,10,20,43
27,A,5000,5030,5031,5062,5063,20,20,40,63
28,A,5000,5040,5041,5072,5073,30,20,50,73
29,A,5000,5050,5051,5082,5083,40,20,60,83
30,A,6000,6010,6011,6022,6023,0,0,0,23
31,A,6000,6020,6021,6042,6043,10,10,20,43
32,A,6000,6030,6031,6062,6063,20,20,40,63
33,A,6000,6040,6041,6072,6073,30,20,50,73
34,A,6000,6050,6051,6082,6083,40,20,60,83
35,A,7000,7010,7011,7022,7023,0,0,0,23
36,A,7000,7020,7021,7042,7043,10,10,20,43
37,A,7000,7030,7031,7062,7063,20,20,40,63
38,A,7000,7040,7041,7072,7073,30,20,50,73
39,A,7000,7050,7051,7082,7083,40,20,60,83
40,A,8000,8010,8011,8022,8023,0,0,0,23
41,A,8000,8020,8021,8042,8043,10,10,20,43
42,A,8000,8030,8031,8062,8063,20,20,40,63
43,A,8000,8040,8041,8072,8073,30,20,50,73
44,A,8000,8050,8051,8082,8083,40,20,60,83
45,A,9000,9010,9011,9022,9023,0,0,0,23
46,A,9000,9020,9021,9042,9043,10,10,20,43
47,A,9000,9030,9031,9062,9063,20,20,40,63
48,A,9000,9040,9041,9072,9073,30,20,50,73
49,A,9000,9050,9051,9082,9083,40,20,60,83
50,B,0,10,11,32,33,0,10,10,33
51,B,0,20,21,52,53,10,20,30,53
52,B,500,510,511,522,523,0,0,0,23
53,B,500,520,521,532,533,10,0,10,33
54,B,1000,1010,1011,1032,1033,0,10,10,33
55,B,1000,1020,1021,1052,1053,10,20,30,53
56,B,1500,1510,1511,1522,1523,0,0,0,23
57,B,1500,1520,1521,1532,1533,10,0,10,33
58,B,2000,2010,2011,2032,2033,0,10,10,33
59,B,2000,2020,2021,2052,2053,10,20,30,53
60,B,2500,2510,2511,2522,2523,0,0,0,23
61,B,2500,2520,2521,2532,2533,10,0,10,33
62,B,3000,3010,3011,3032,3033,0,10,10,33
63,B,3000,3020,3021,3052,3053,10,20,30,53
64,B,3500,3510,3511,3522,3523,0,0,0,23
65,B,3500,3520,3521,3532,3533,10,0,10,33
66,B,4000,4010,4011,4032,4033,0,10,10,33
67,B,4000,4020,4021,4052,4053,10,20,30,53
68,B,4500,4510,4511,4522,4523,0,0,0,23
69,B,4500,4520,4521,4532,4533,10,0,10,33
70,B,5000,5010,5011,5032,5033,0,10,10,33
71,B,5000,5020,5021,5052,5053,10,20,30,53
72,B,5500,5510,5511,5522,5523,0,0,0,23
73,B,5500,5520,5521,5532,5533,10,0,10,33
74,B,6000,6010,6011,6032,6033,0,10,10,33
75,B,6000,6020,6021,6052,6053,10,20,30,53
76,B,6500,6510,6511,6522,6523,0,0,0,23
77,B,6500,6520,6521,6532,6533,10,0,10,33
78,B,7000,7010,7011,7032,7033,0,10,10,33
79,B,7000,7020,7021,7052,7053,10,20,30,53
80,B,7500,7510,7511,7522,7523,0,0,0,23
81,B,7500,7520,7521,7532,7533,10,0,10,33
82,B,8000,8010,8011,8032,8033,0,10,10,33
83,B,8000,8020,8021,8052,8053,10,20,30,53
84,B,8500,8510,8511,8522,8523,0,0,0,23
85,B,8500,8520,8521,8532,8533,10,0,10,33
86,B,9000,9010,9011,9032,9033,0,10,10,33
87,B,9000,9020,9021,9052,9053,10,20,30,53
88,B,9500,9510,9511,9522,9523,0,0,0,23
89,B,9500,9520,9521,9532,9533,10,0,10,33
